player_id,PLAYER,TEAM,MIN,PIE
minixri01,Riley Minix,SAS,2.8,25.7
jonesco01,Colby Jones,DET,6.8,25.6
jokini01,Nikola Jokić,DEN,34.6,22.9
antetgi01,Giannis Antetokounmpo,MIL,29.2,21.8
jordade01,DeAndre Jordan,NOP,11.7,21.1
gilgesh01,Shai Gilgeous-Alexander,OKC,33.5,20.9
wembavi01,Victor Wembanyama,SAS,28.9,20.6
smithto01,Tolu Smith,DET,10.9,19.3
donilu01,Luka Dončić,LAL,36.3,18.4
goldivl01,Vladislav Goldin,MIA,0.9,18.2
toppija01,Jacob Toppin,ATL,3.4,18.1
leonaka01,Kawhi Leonard,LAC,33.1,18
durenja01,Jalen Duren,DET,28.2,16.4
johnsja01,Jalen Johnson,ATL,35.5,16.1
jrpa01,Patrick Baldwin Jr.,LAC,6.1,16.1
cunnica01,Cade Cunningham,DET,35.4,15.9
iiiro01,Robert Williams III,POR,16.1,15.9
mccontj01,T.J. McConnell,IND,17.2,15.8
mitchdo01,Donovan Mitchell,CLE,34.1,15.7
embiijo01,Joel Embiid,PHI,30.5,15.7
edeyza01,Zach Edey,MEM,25.8,15.7
maxeyty01,Tyrese Maxey,PHI,39.1,15.5
iiiji01,Jimmy Butler III,GSW,31.1,15.5
jrty01,TyTy Washington Jr.,LAC,10.9,15.5
reaveau01,Austin Reaves,LAL,35.3,15.4
holmgch01,Chet Holmgren,OKC,29.3,15.4
edwaran01,Anthony Edwards,MIN,35.2,15.2
avdijde01,Deni Avdija,POR,34.8,15.2
brownja01,Jaylen Brown,BOS,34.4,15.1
jrmi01,Michael Porter Jr.,BKN,33,15.1
giddejo01,Josh Giddey,CHI,32.1,15.1
davisan01,Anthony Davis,DAL,31.3,15.1
duranke01,Kevin Durant,HOU,36.8,14.9
murraja01,Jamal Murray,DEN,35.5,14.8
hardeja01,James Harden,LAC,35.5,14.8
jamesle01,LeBron James,LAL,33.2,14.8
willima01,Mark Williams,PHX,24,14.8
thybuma01,Matisse Thybulle,POR,12.2,14.8
sengual01,Alperen Sengun,HOU,34.2,14.7
curryst01,Stephen Curry,GSW,31.5,14.6
willizi01,Zion Williamson,NOP,29.2,14.6
valanjo01,Jonas Valančiūnas,DEN,14,14.5
harteis01,Isaiah Hartenstein,OKC,26.9,14.3
townska01,Karl-Anthony Towns,NYK,31.6,14.2
barnesc01,Scottie Barnes,TOR,34.5,14
banchpa01,Paolo Banchero,ORL,34.2,14
bookede01,Devin Booker,PHX,34,13.9
randlju01,Julius Randle,MIN,33.4,13.9
wagnefr01,Franz Wagner,ORL,32.8,13.8
kesslwa01,Walker Kessler,UTA,30.8,13.8
gordoaa01,Aaron Gordon,DEN,27.9,13.8
sharpda01,Day'Ron Sharpe,BKN,18.2,13.8
reedpa01,Paul Reed,DET,12,13.8
markkla01,Lauri Markkanen,UTA,35.7,13.7
wareke01,Kel'el Ware,MIA,23.4,13.7
greenja01,Jalen Green,PHX,13.5,13.7
brunsja01,Jalen Brunson,NYK,34.4,13.5
breako01,Koby Brea,PHX,3.9,13.5
zubaciv01,Ivica Zubac,LAC,30.8,13.3
sassema01,Marcus Sasser,DET,9.6,13.3
garcida01,David Jones Garcia,SAS,6.2,13.3
ballla01,LaMelo Ball,CHA,27.2,13.2
johnske01,Keldon Johnson,SAS,24.1,13.2
siakapa01,Pascal Siakam,IND,34,13.1
adebaba01,Bam Adebayo,MIA,31.2,13.1
vuevini01,Nikola Vučević,CHI,30.9,13.1
sabondo01,Domantas Sabonis,SAC,30.1,13.1
herroty01,Tyler Herro,MIA,31.7,13
willija01,Jalen Williams,OKC,29.6,13
clingdo01,Donovan Clingan,POR,27.5,12.9
connapa01,Pat Connaughton,CHA,7.1,12.9
moranja01,Ja Morant,MEM,28.4,12.8
flowetr01,Trentyn Flowers,CHI,2.8,12.8
mobleev01,Evan Mobley,CLE,33.4,12.7
sarral01,Alex Sarr,WAS,28.6,12.7
bouyeja01,Jamaree Bouyea,PHX,15.1,12.7
holidjr01,Jrue Holiday,POR,28.4,12.6
porzikr01,Kristaps Porziņģis,ATL,24.3,12.6
thompam01,Amen Thompson,HOU,37.4,12.5
iiitr01,Trey Murphy III,NOP,35.8,12.5
reidna01,Naz Reid,MIN,26.2,12.5
liddeej01,E.J. Liddell,BKN,4.3,12.5
jrke01,Kevin Porter Jr.,MIL,33.6,12.4
allenja01,Jarrett Allen,CLE,27.2,12.4
quetane01,Neemias Queta,BOS,24.9,12.4
spencca01,Cam Spencer,MEM,24,12.4
claxtni01,Nic Claxton,BKN,29.6,12.3
portibo01,Bobby Portis,MIL,24,12.3
colliza01,Zach Collins,CHI,18.4,12.3
ingrabr01,Brandon Ingram,TOR,34.1,12.2
iiima01,Marvin Bagley III,WAS,19.3,12.2
cryerlj01,LJ Cryer,GSW,2.6,12.2
georgke01,Keyonte George,UTA,34.4,12.1
jonestr01,Tre Jones,CHI,26.9,12.1
nurkiju01,Jusuf Nurkić,UTA,26.4,12.1
mitchaj01,Ajay Mitchell,OKC,26.2,12.1
mamuksa01,Sandro Mamukelashvili,TOR,22.3,12.1
bitadgo01,Goga Bitadze,ORL,16.4,12.1
foxde01,De'Aaron Fox,SAS,32.6,12
goberru01,Rudy Gobert,MIN,31.4,12
hartjo01,Josh Hart,NYK,30.7,12
timmedr01,Drew Timme,LAL,8,12
sextoco01,Collin Sexton,CHA,22.8,11.9
bryanth01,Thomas Bryant,CLE,9.4,11.9
quickim01,Immanuel Quickley,TOR,32.5,11.8
powelno01,Norman Powell,MIA,30.7,11.8
gilleco01,Collin Gillespie,PHX,28.3,11.8
youngtr01,Trae Young,WAS,28,11.8
flaggco01,Cooper Flagg,DAL,33.8,11.7
pritcpa01,Payton Pritchard,BOS,32.7,11.7
aldamsa01,Santi Aldama,MEM,28,11.7
wagnemo01,Moritz Wagner,ORL,11.5,11.7
drumman01,Andre Drummond,PHI,20,11.6
dantenf01,N'Faly Dante,ATL,3.9,11.6
bridgmi01,Miles Bridges,CHA,32.4,11.5
knuepko01,Kon Knueppel,CHA,31.8,11.5
barrerj01,RJ Barrett,TOR,29.4,11.5
aytonde01,Deandre Ayton,LAL,28.3,11.5
cowarce01,Cedric Coward,MEM,26.7,11.5
millejo01,Jordan Miller,LAC,18.8,11.5
nembhan01,Andrew Nembhard,IND,32,11.3
marshna01,Naji Marshall,DAL,29.3,11.3
jrja01,Jaime Jaquez Jr.,MIA,28.9,11.3
queende01,Derik Queen,NOP,25.8,11.3
diabamo01,Moussa Diabaté,CHA,24.6,11.3
kornelu01,Luke Kornet,SAS,24,11.3
smithja01,Jalen Smith,CHI,20.2,11.3
robinmi01,Mitchell Robinson,NYK,19.7,11.3
derozde01,DeMar DeRozan,SAC,33.3,11.2
sharpsh01,Shaedon Sharpe,POR,30.3,11.2
suggsja01,Jalen Suggs,ORL,25.6,11.2
curryse01,Seth Curry,GSW,16,11.2
nancepe01,Pete Nance,MIL,7.1,11.2
georgpa01,Paul George,PHI,30.3,11.1
capelcl01,Clint Capela,HOU,11.4,11.1
bridgmi01,Mikal Bridges,NYK,34.6,11
whitede01,Derrick White,BOS,34.1,11
beysa01,Saddiq Bey,NOP,30,11
millebr01,Brandon Miller,CHA,30,11
westbru01,Russell Westbrook,SAC,29.6,10.9
salanti01,Tidjane Salaün,CHA,16.2,10.9
poeltja01,Jakob Poeltl,TOR,25.3,10.8
harrito01,Tobias Harris,DET,27.5,10.7
podzibr01,Brandin Podziemski,GSW,26.8,10.7
dosunay01,Ayo Dosunmu,CHI,26,10.7
rolliry01,Ryan Rollins,MIL,31.8,10.6
castlst01,Stephon Castle,SAS,31,10.6
antetth01,Thanasis Antetokounmpo,MIL,3,10.6
okongon01,Onyeka Okongwu,ATL,32,10.5
kalkbry01,Ryan Kalkbrenner,CHA,24,10.5
easonta01,Tari Eason,HOU,23.9,10.5
willibr01,Brandon Williams,DAL,22.2,10.5
gaffoda01,Daniel Gafford,DAL,20.6,10.5
matkoka01,Karlo Matković,NOP,12.7,10.5
hallpj01,PJ Hall,CHA,10.3,10.5
horfoal01,Al Horford,GSW,19.8,10.4
jenkida01,Daniss Jenkins,DET,16.6,10.4
berinjo01,Joan Beringer,MIN,7.2,10.4
livinch01,Chris Livingston,CLE,5.8,10.4
jrja01,Jaren Jackson Jr.,MEM,30.6,10.3
garlada01,Darius Garland,CLE,30.5,10.3
landajo01,Jock Landale,MEM,23.2,10.3
toppiob01,Obi Toppin,IND,27.4,10.2
sheppre01,Reed Sheppard,HOU,24.8,10.2
harpedy01,Dylan Harper,SAS,21.2,10.2
champju01,Justin Champagnie,WAS,18.8,10.2
branhma01,Malaki Branham,WAS,9.2,10.2
leonsma01,Malevy Leons,GSW,4.4,10.2
allengr01,Grayson Allen,PHX,29.8,10.1
garzalu01,Luka Garza,BOS,16.7,10.1
willike01,Kenrich Williams,OKC,15.5,10.1
schrdde01,Dennis Schröder,SAC,26.3,10
adamsst01,Steven Adams,HOU,22.8,10
banede01,Desmond Bane,ORL,34.1,9.9
washipj01,P.J. Washington,DAL,31,9.9
mccolcj01,CJ McCollum,ATL,30.1,9.9
whiteco01,Coby White,CHI,28.9,9.9
thompau01,Ausar Thompson,DET,25.7,9.9
kuminjo01,Jonathan Kuminga,GSW,23.8,9.9
konchjo01,John Konchar,MEM,14.2,9.9
jackstr01,Trayce Jackson-Davis,GSW,11.6,9.9
