player_id,Player,2025-26,2026-27,2027-28,2028-29
curryst01,Stephen Curry,"$59,606,817","$62,587,158",-,-
jokini01,Nikola Jokic,"$55,224,526","$59,033,114","P$62,841,702",-
embiijo01,Joel Embiid,"$55,224,526","$59,539,018","$64,302,139","$69,065,261"
duranke01,Kevin Durant,"$54,708,608","$43,902,439","P$46,097,561",-
iiiji01,Jimmy Butler,"$54,126,450","$56,832,773",-,-
davisan01,Anthony Davis,"$54,126,450","$58,456,566","P$62,786,682",-
UNMAPPED,Jayson Tatum,"$54,126,450","$58,456,566","$62,786,682","$67,116,798"
antetgi01,G. Antetokounmpo,"$54,126,450","$58,456,566","P$62,786,682",-
townska01,K. Towns,"$53,142,264","$57,078,728","P$61,015,192",-
brownja01,Jaylen Brown,"$53,142,264","$57,078,728","$61,015,192","$64,951,656"
bookede01,Devin Booker,"$53,142,264","$57,078,728","$61,015,192","$69,877,500"
jamesle01,LeBron James,"$52,627,153",-,-,-
georgpa01,Paul George,"$51,666,090","$54,126,380","P$56,586,670",-
leonaka01,Kawhi Leonard,"$50,000,000","$50,300,000",-,-
lavinza01,Zach LaVine,"$47,499,660","P$48,967,380",-,-
youngtr01,Trae Young,"$46,394,100","P$48,967,380",-,-
markkla01,Lauri Markkanen,"$46,394,100","$46,113,154","$49,824,681","$53,536,209"
mitchdo01,Donovan Mitchell,"$46,394,100","$50,105,628","P$53,817,156",-
cunnica01,Cade Cunningham,"$46,394,100","$50,105,628","$53,817,156","$57,528,684"
mobleev01,Evan Mobley,"$46,394,100","$50,105,628","$53,817,156","$57,528,684"
murraja01,Jamal Murray,"$46,394,100","$50,105,628","$53,817,156","$57,528,684"
donilu01,Luka Doncic,"$45,999,660","$51,033,600","$55,116,288","P$59,198,976"
siakapa01,Pascal Siakam,"$45,550,512","$48,924,624","$52,298,736",-
UNMAPPED,T. Haliburton,"$45,550,512","$48,924,624","$52,298,736","$55,672,848"
edwaran01,Anthony Edwards,"$45,550,512","$48,924,624","$52,298,736","$55,672,848"
sabondo01,Domantas Sabonis,"$42,336,000","$45,472,000","$48,608,000",-
anunoog01,OG Anunoby,"$39,568,966","$42,500,000","$45,431,034","P$48,362,068"
willizi01,Zion Williamson,"$39,446,090","$42,166,510","$44,886,930",-
moranja01,Ja Morant,"$39,446,090","$42,166,510","$44,886,930",-
garlada01,Darius Garland,"$39,446,090","$42,166,510","$44,886,930",-
hardeja01,James Harden,"$39,182,693","P$42,317,307",-,-
barnesc01,Scottie Barnes,"$38,661,700","$41,754,636","$44,847,572","$47,940,508"
wagnefr01,Franz Wagner,"$38,661,700","$41,754,636","$44,847,572","$47,940,508"
jrmi01,Michael Porter,"$38,333,050","$40,806,150",-,-
gilgesh01,S. Gilgeous-Alexander,"$38,333,050","$40,806,150","$63,706,720","$68,803,258"
ingrabr01,Brandon Ingram,"$38,095,238","$40,000,000","P$41,904,762",-
ballla01,LaMelo Ball,"$37,958,760","$40,770,520","$43,582,280","$46,394,040"
maxeyty01,Tyrese Maxey,"$37,958,760","$40,770,520","$43,582,280","$46,394,040"
foxde01,De'Aaron Fox,"$37,096,620","$51,033,600","$55,116,288","$59,198,976"
adebaba01,Bam Adebayo,"$37,096,620","$51,935,268","$56,090,089","P$60,244,910"
banede01,Desmond Bane,"$36,725,670","$39,446,090","$42,166,510","$44,886,930"
UNMAPPED,Kyrie Irving,"$36,566,002","$39,491,282","P$42,416,562",-
goberru01,Rudy Gobert,"$35,000,000","$36,500,000","P$38,000,000",-
suggsja01,Jalen Suggs,"$35,000,000","$32,400,000","$29,600,000","$26,800,000"
jrja01,Jaren Jackson Jr,"$35,000,000","$49,000,000","$50,500,000","$52,000,000"
brunsja01,Jalen Brunson,"$34,944,001","$37,739,521","$40,535,041","P$43,330,561"
sengual01,Alperen Sengun,"$33,944,954","$35,642,202","$37,339,450","$39,036,697"
middlkh01,Khris Middleton,"$33,345,679",-,-,-
greenja01,Jalen Green,"$33,333,333","$36,000,000","P$36,000,000",-
quickim01,I. Quickley,"$32,500,000","$32,500,000","$32,500,000","$32,500,000"
holidjr01,Jrue Holiday,"$32,400,000","$34,800,000","P$37,200,000",-
grantje01,Jerami Grant,"$32,000,001","$34,206,898","P$36,413,790",-
poolejo01,Jordan Poole,"$31,848,215","$34,044,642",-,-
herroty01,Tyler Herro,"$31,000,000","$33,000,000",-,-
randlju01,Julius Randle,"$30,864,198","$33,333,334","P$35,802,468",-
UNMAPPED,Dejounte Murray,"$30,801,103","$32,785,071","P$30,751,504",-
porzikr01,K. Porzingis,"$30,731,707",-,-,-
mccolcj01,CJ McCollum,"$30,666,666",-,-,-
johnsja01,Jalen Johnson,"$30,000,000","$30,000,000","$30,000,000","$30,000,000"
harteis01,I. Hartenstein,"$28,500,000","T$28,500,000",-,-
wiggian01,Andrew Wiggins,"$28,223,215","P$30,169,644",-,-
whitede01,Derrick White,"$28,100,000","$30,348,000","$32,596,000","P$34,844,000"
barrerj01,RJ Barrett,"$27,705,357","$29,616,071",-,-
simonan01,Anfernee Simons,"$27,678,571",-,-,-
vassede01,Devin Vassell,"$27,000,000","$27,000,000","$24,652,174","$27,000,000"
UNMAPPED,Terry Rozier,"$26,643,031",-,-,-
harrito01,Tobias Harris,"$26,634,146",-,-,-
collijo01,John Collins,"$26,580,000",-,-,-
greendr01,Draymond Green,"$25,892,857","P$27,678,571",-,-
aytonde01,Deandre Ayton,"$25,550,814",-,-,-
claxtni01,Nicolas Claxton,"$25,352,272","$23,147,727","$20,943,184",-
turnemy01,Myles Turner,"$25,318,251","$26,584,164","$27,850,077","P$29,115,990"
UNMAPPED,Fred VanVleet,"$25,000,000","P$25,000,000",-,-
bridgmi01,Miles Bridges,"$25,000,000","$22,826,087",-,-
giddejo01,Josh Giddey,"$25,000,000","$25,000,000","$25,000,000","$25,000,000"
iiitr01,Trey Murphy,"$25,000,000","$27,000,000","$29,000,000","$31,000,000"
bridgmi01,Mikal Bridges,"$24,900,000","$33,482,145","$36,160,714","$38,839,285"
derozde01,DeMar DeRozan,"$24,570,000","$25,740,000",-,-
